MTO_Number,Production_Orders,Materials
AS2512025,5,"03.03.001,05.01.06,07.01.06"
AS2512023,2,"03.02.03.051,03.02.11.069"
AS2512019,80,"05.02.14.31,05.02.24.01,05.06.05.009,05.05.07.06,05.06.05.004,05.05.07.07,05.02.08.014,05.02.21.04,05.02.04.060,05.02.21.03,05.02.11.01,05.02.04.055,05.05.12.14,05.05.05.026,05.05.12.04,05.05.05.009,05.02.19.01,05.02.22.01,05.20.01.11.003,05.06.22.01,05.06.12.010,05.06.07.008,05.06.02.07,05.20.03.02.011,05.05.02.03,05.05.13.01,05.05.02.16,05.05.04.025,05.20.02.10.007,05.05.09.020,05.08.01.01.006,05.06.09.03,05.06.07.002,05.06.02.03,05.20.03.02.004,05.05.03.002,05.05.02.01,05.05.02.04,05.05.01.002,05.05.06.06,05.05.04.007,05.20.02.10.013,05.05.09.009,05.08.01.02.005,03.04.001,05.02.08.015,05.20.01.01.011,03.03.001,03.02.03.052,07.02.057,07.02.053,07.18.191,07.18.452,05.20.02.05.008"
AS2512017,23,"03.05.001,03.03.001,03.02.06.008,03.02.02.077,03.02.02.126,03.02.02.150,03.02.02.151,03.02.03.032,03.02.03.045,03.02.11.015"
AS2512016,9,"03.02.03.060,03.02.11.132,03.03.001,05.05.04.002"
AS2512014,64,"05.02.08.036,05.02.08.035,05.02.09.08,05.02.09.07,05.02.04.059,05.02.26.30,05.02.04.072,05.02.26.12,05.02.24.02,05.02.08.034,05.02.08.009,05.02.08.014,05.02.03.028,05.02.27.038,05.02.21.05,05.02.11.01,05.02.04.055,05.02.03.004,05.02.03.046,05.20.01.11.039,05.02.12.13,05.02.20.24,05.20.01.11.021,05.02.19.01,05.02.22.01,05.02.20.18,05.20.01.11.005,05.20.01.01.024,05.20.01.01.007,03.03.001,03.04.001,05.02.08.015,05.20.01.01.011,05.01.06,07.01.06,07.02.080,07.02.056,07.02.065"
AS2512011,8,"03.03.001,03.02.03.053,03.02.03.052,07.03.071,07.18.002"
AS2512010,2,"03.03.001,07.01.46"
AS2512006,35,"03.03.001,03.04.001,03.02.02.081,03.02.02.080,05.02.03.012,05.02.03.011,05.02.21.10,05.02.04.065,05.02.24.06,05.02.04.064,05.20.01.05.002,05.02.11.06,05.20.01.05.001,05.02.20.18,05.02.22.01,05.02.19.01,05.02.21.09,05.02.11.05,07.02.074,07.02.073"
AS2512005,135,"05.20.01.11.005,05.02.04.073,05.02.15.59,05.02.26.33,05.02.26.24,05.02.27.045,05.06.06.027,05.05.08.02,05.02.26.30,05.02.26.36,05.02.21.05,05.02.24.02,05.02.14.07,05.02.04.103,05.02.01.12,05.06.12.025,05.05.12.01,05.02.12.14,05.02.04.109,05.02.36.01,05.02.11.01,05.02.04.055,05.02.08.040,05.02.08.032,05.02.08.014,05.02.01.30,05.20.01.11.042,05.02.27.058,05.02.20.16,05.20.01.11.032,05.02.27.015,05.02.04.020,05.02.03.008,05.02.03.007,05.20.01.10.030,05.02.04.079,05.06.18.06,05.06.12.031,05.06.09.20,05.06.08.007,05.06.02.23,05.06.21.04,05.06.20.05,05.06.04.056,05.06.04.032,05.06.04.031,05.06.04.045,05.20.03.02.038,05.05.02.22,05.05.02.05,05.05.02.24,05.05.02.17,05.05.06.02,05.05.06.16,05.05.06.01,05.05.04.001,05.05.05.001,05.20.02.10.005,05.05.10.001,05.08.02.02.001,05.02.27.040,05.20.01.11.039,05.02.22.07,05.02.20.30,05.02.20.29,05.02.01.36,05.20.01.11.045,05.02.27.061,05.02.15.57,05.02.19.01,05.02.22.01,05.02.20.18,05.20.01.03.008,03.01.007,03.03.001,03.04.001,05.02.08.015,05.01.15,03.02.11.126,07.01.15,07.02.116,07.02.021,07.02.088,07.18.021,07.02.082,07.02.124,07.02.065"
AS2512002,162,"05.20.02.10.020,05.02.04.075,05.02.10.09,05.05.05.022,05.02.21.05,05.02.03.058,05.02.21.06,05.02.26.30,05.02.12.16,05.02.03.025,05.02.26.02,05.05.08.03,05.06.06.014,05.06.06.004,05.06.06.007,05.06.06.001,05.05.05.008,05.05.08.02,05.02.08.006,05.02.08.014,05.02.08.023,05.02.11.01,05.02.04.055,05.02.24.02,05.02.11.03,05.02.04.060,05.02.27.003,05.06.11.02,05.05.01.041,05.05.04.026,05.05.10.021,05.06.12.001,05.05.03.004,05.05.06.05,05.08.01.02.004,05.04.06,05.20.01.03.008,05.02.03.005,05.20.01.05.011,05.02.01.27,05.02.27.056,05.02.15.23,05.02.19.01,05.02.22.01,05.20.01.03.009,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,05.20.01.09.010,05.02.20.23,05.20.01.05.006,05.20.01.11.013,05.02.04.003,05.06.11.01,05.06.12.017,05.06.11.08,05.06.11.06,05.06.11.03,05.06.11.05,05.06.08.022,05.20.02.10.009,05.06.02.15,05.20.03.01.018,05.06.09.03,05.06.08.007,05.06.02.03,05.20.03.01.044,05.05.10.017,05.05.04.022,05.20.02.03.021,05.08.02.02.006,05.06.22.01,05.06.12.010,05.06.08.008,05.06.02.07,05.20.03.01.043,05.05.03.014,05.05.22.05,05.05.20.04,05.20.02.03.026,05.08.02.02.009,05.06.18.01,05.06.09.01,05.06.08.001,05.06.03.02,05.06.02.01,05.06.01.01,05.20.03.01.002,05.05.01.050,05.05.01.049,05.05.01.005,05.05.04.006,05.20.02.03.008,05.20.02.10.005,05.05.10.005,05.20.01.01.004,05.02.08.015,05.20.01.01.011,05.20.01.01.015,05.01.06,07.07.004,07.02.065,07.02.114,07.01.06,07.02.070,07.02.084,07.02.003,07.04.087,07.18.159,07.18.198,07.18.017,03.02.07.008,03.02.02.150,03.02.04.015,03.02.11.098,03.02.11.106,03.02.11.093"
AS2511059,29,"05.06.05.010,05.05.07.08,05.06.12.001,05.05.03.004,05.05.12.02,05.05.05.006,05.06.18.02,05.06.08.009.01,05.06.09.07,05.06.01.03,05.06.02.08,05.20.03.02.012,05.05.01.050,05.05.01.049,05.05.01.005,05.05.06.04,05.05.04.004,05.20.02.10.014,05.05.09.006,05.08.01.02.002,03.03.001,03.02.11.091,07.18.055"
AS2511058-9,4,"05.07.21.07,05.20.04.01.20.07,03.03.001,06.05.16.07"
AS2511058-8,4,"05.07.21.06,05.20.04.01.20.06,03.03.001,06.05.16.06"
AS2511058-7,4,"05.07.21.05,05.20.04.01.20.05,03.03.001,06.05.16.05"
AS2511058-6,4,"05.07.21.04,05.20.04.01.20.04,03.03.001,06.05.16.04"
AS2511058-5,4,"05.07.21.03,05.20.04.01.20.03,03.03.001,06.05.16.03"
AS2511058-4,4,"05.07.21.02,05.20.04.01.20.02,03.03.001,07.05.16.02"
AS2511058-3,4,"05.07.21.01,03.03.001,05.20.04.01.20.01,07.05.16.01"
AS2511058-2,10,"05.02.26.22,05.02.27.007,05.02.20.02,05.20.01.11.030,05.20.01.10.003,05.02.04.006,03.04.001,03.05.001,03.03.001,07.02.008"
AS2511058-12,3,"03.05.001,03.03.001,07.01.50"
AS2511058-11,3,"03.05.001,03.03.001,07.01.50"
AS2511058-10,3,"03.05.001,03.03.001,07.01.46"
AS2511058-1,10,"05.02.26.20,05.02.27.035,05.02.20.16,05.20.01.11.028,05.20.01.10.023,05.02.04.053,03.04.001,03.05.001,03.03.001,07.02.051"
AS2511057,42,"07.07.004,07.02.038,07.25.75,07.02.040,07.02.049,07.06.004,07.01.74,07.01.06,07.02.124,07.02.086,07.25.57,07.18.114,07.02.012,07.02.084,07.02.037,07.18.358,07.18.360,07.17.043,07.17.045,07.17.138,07.17.139,07.17.140,07.17.144,07.17.145,07.17.146,05.02.03.077,03.02.07.012,03.02.02.077,03.02.02.126,03.02.06.008,03.02.03.032,03.02.02.150,03.02.03.045,03.02.03.053,03.02.11.015"
AS2511055,24,"03.03.001,05.01.05,07.01.05"
AS2511054,27,"07.07.004,07.02.038,07.02.040,07.02.037,07.06.004,07.02.086,07.25.75,07.02.049,07.01.74,07.01.06,07.02.124,07.02.084,07.18.114,07.02.068,07.17.138,07.17.144,07.17.145,07.17.140,03.05.001,03.03.001"
AS2511053-2,45,"05.05.07.19,05.05.05.013,05.06.05.055,05.05.03.004,05.05.05.005,05.05.17.04,05.06.18.06,05.06.12.015,05.06.07.012,05.06.03.11,05.06.02.29,05.06.05.060,05.05.01.004,05.05.04.011,05.05.09.012,05.08.01.02.009,05.06.12.016,05.06.07.028,05.06.03.02,05.06.02.01,05.05.01.054,05.05.01.053,05.05.01.052,05.05.01.001,05.05.04.003,05.20.02.10.035,05.05.09.005,05.08.01.02.001,03.03.001,03.04.001,03.02.03.030,07.18.108,07.18.052"
AS2511053-1,45,"05.05.07.19,05.05.05.013,05.06.05.055,05.05.03.004,05.05.05.005,05.05.17.04,05.06.18.06,05.06.12.015,05.06.07.012,05.06.03.11,05.06.02.29,05.06.05.060,05.05.01.004,05.05.04.011,05.05.09.012,05.08.01.02.009,05.06.12.016,05.06.07.028,05.06.03.02,05.06.02.01,05.05.01.054,05.05.01.053,05.05.01.052,05.05.01.001,05.05.04.003,05.20.02.10.035,05.05.09.005,05.08.01.02.001,03.03.001,03.04.001,03.02.03.030,07.18.108,07.18.052"
AS2511052,10,"07.25.06,03.03.001"
AS2511051-3,31,"05.02.26.07,05.02.01.12,05.02.26.09,05.02.08.004,05.02.01.05,05.20.01.11.017,05.02.27.024,05.02.04.039,05.20.01.04.003,05.02.20.15,05.20.01.11.019,05.02.27.015,05.02.04.020,05.04.02,03.05.001,03.04.001,03.03.001,03.02.13.003,05.20.01.01.036,05.01.10,03.02.10.011,05.01.11,07.14.005,07.19.003"
AS2511051-2,44,"03.05.001,03.04.001,03.03.001,05.01.37,05.01.40,05.02.10.23,05.01.42,07.01.37,07.01.50,07.01.40,07.01.46,07.01.42"
AS2511051-1,119,"05.02.04.026,05.02.27.030,05.02.04.048,05.02.26.18,05.02.12.03,05.02.26.20,05.02.27.035,05.02.26.04,05.02.26.21,05.02.27.007,05.02.08.027,05.02.08.040,05.02.20.14,05.02.20.13,05.20.01.10.020,05.02.15.38,05.20.01.11.026,05.20.01.09.003,05.02.01.05,05.02.27.005,05.02.04.184,05.20.01.11.028,05.20.01.10.023,05.02.04.183,05.02.20.16,05.02.01.54,05.20.01.11.066,05.02.27.062,05.02.04.182,05.02.20.02,05.20.01.11.029,05.20.01.10.003,05.02.04.006,03.02.02.151,05.20.01.01.019,03.05.001,03.04.001,03.03.001,07.02.048,07.02.027,07.02.005,07.02.051,07.02.125,07.02.008"
AS2511050,16,"05.02.26.02,05.02.27.003,05.02.20.23,05.02.03.025,05.20.01.11.013,05.02.04.003,03.03.001,05.01.56,03.02.10.010,07.19.001"
AS2511048,8,"07.25.06,03.03.001"
AS2511046,121,"05.20.02.10.020,05.07.22.07,05.07.22.08,05.05.06.05,05.05.05.039,05.05.08.10,05.07.22.09,05.07.22.10,05.06.23.03,05.05.01.041,05.05.05.074,05.06.05.049,05.06.06.027,05.05.17.06,05.05.17.04,05.07.02.06,05.05.05.008,05.08.01.02.004,05.07.02.04,05.08.02.02.029,05.06.02.05,05.20.04.01.12.08,05.20.04.01.12.09,05.05.20.05,05.05.02.20,05.05.01.022,05.20.02.04.001,05.05.04.006,05.05.10.005,05.05.04.033,05.20.02.03.032,05.20.02.10.024,05.05.10.025,05.08.02.02.013,05.20.04.01.12.10,05.20.04.01.12.11,05.06.08.015,05.06.09.11,05.06.24.02,05.06.02.17,05.06.04.033,05.06.04.017,05.20.03.02.018,05.05.03.014,05.05.22.05,05.05.20.04,05.20.02.06.010,05.05.04.057,05.20.02.03.057,05.05.10.052,05.06.18.03,05.06.12.015,05.06.08.040,05.06.21.05,05.06.20.06,05.06.04.036,05.06.04.035,05.06.04.048,05.06.02.14,05.20.03.01.033,05.06.08.048,05.06.09.22,05.06.03.04,05.06.21.04,05.06.20.05,05.06.04.056,05.06.04.031,05.06.04.032,05.06.04.045,05.20.03.02.038,03.04.001,05.20.02.01.003,05.20.02.01.004,03.03.001,03.05.001,07.18.086,07.18.412,07.17.096,07.17.097,07.17.021,07.03.013,07.18.260,07.03.079,07.17.165,07.17.166,07.04.035,07.04.025"
AS2511042,2,07.03
AS2511041,2,07.03
AS2511040,21,"05.02.10.09,05.02.04.026,05.02.04.059,05.02.26.12,05.02.26.19,05.02.08.023,05.02.03.028,05.02.27.038,05.02.12.03,05.02.20.24,05.20.01.11.021,05.02.20.16,05.20.01.11.027,03.03.001,03.04.001,03.02.02.150,05.20.01.01.015,07.02.056,07.02.027"
"AS2511038-3-备货",31,"05.02.04.075,05.02.10.19,05.02.10.18,05.02.26.30,05.02.08.038,05.02.12.16,03.03.001,03.04.001,03.02.02.151,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,06.02.084"
"AS2511038-2-英国",58,"05.02.04.075,05.02.10.19,05.02.10.18,05.02.26.30,05.02.08.038,05.02.12.16,03.03.001,03.04.001,03.02.02.151,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,06.02.084"
"AS2511038-1美国",57,"05.02.04.075,05.02.10.19,05.02.10.18,05.02.26.30,05.02.08.038,05.02.12.16,03.03.001,03.04.001,03.02.02.151,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.042,05.20.01.11.039,06.02.084"
AS2511037,2,"05.02.21.02,05.05.04.002"
AS2511034,18,"05.02.27.050,05.02.09.11,05.02.09.10,05.02.20.11.02,05.02.20.11.01,05.20.01.10.033,05.02.04.090,03.03.001,03.04.001,03.02.02.151,03.01.001,07.02.100"
AS2511033,20,"05.02.27.050,05.02.09.11,05.02.09.10,05.02.20.11.02,05.02.20.11.01,05.20.01.10.033,05.02.04.090,03.03.001,03.04.001,03.02.02.151,03.01.001,07.02.100"
AS2511032,17,"05.05.05.065,05.05.17.06,05.05.04.026,05.05.09.021,05.05.03.012,05.20.02.03.053,05.08.02.02.009,03.03.001,03.05.001,05.20.02.01.003,03.02.03.052,07.03.070"
AS2511030-3,127,"05.02.04.119,05.06.02.05,05.06.05.024,05.05.05.074,05.08.02.02.029,05.06.06.015,05.05.04.026,05.05.05.028,05.05.07.14,05.05.09.021,05.02.26.18,05.02.03.028,05.02.01.15,05.02.26.45,05.02.04.030,05.02.26.14,05.02.27.022,05.06.20.03,05.06.18.06,05.06.12.015,05.06.18.04,05.06.08.048,05.06.09.15,05.06.04.060,05.06.04.059,05.06.04.028,05.06.04.021,05.06.03.04,05.06.14.04,05.06.14.03,05.05.04.057,05.05.09.045,05.06.12.016,05.06.18.01,05.06.07.025,05.06.09.16,05.06.03.08,05.06.02.19,05.05.03.014,05.05.02.29,05.05.02.21,05.05.13.01,05.08.02.02.009,05.02.03.009,05.02.02.03,05.02.01.44,05.02.15.28,05.02.27.004,05.02.20.24,05.02.03.031,05.02.04.037,03.02.02.150,03.03.001,03.04.001,03.05.001,03.02.02.151,03.01.001,03.02.03.055,03.02.11.123,03.02.11.107,03.05.002,07.03.079,07.18.394,07.18.009,07.02.059,07.02.031,07.02.037"
AS2511030-2,126,"05.02.04.119,05.06.02.05,05.06.05.024,05.05.05.074,05.08.02.02.029,05.06.06.015,05.05.04.026,05.05.05.028,05.05.07.14,05.05.09.021,05.02.26.18,05.02.03.028,05.02.01.15,05.02.26.45,05.02.04.030,05.02.26.14,05.02.27.022,05.06.20.03,05.06.18.06,05.06.12.015,05.06.18.04,05.06.08.048,05.06.09.15,05.06.04.060,05.06.04.059,05.06.04.028,05.06.04.021,05.06.03.04,05.06.14.04,05.06.14.03,05.05.04.057,05.05.09.045,05.06.12.016,05.06.18.01,05.06.07.025,05.06.09.16,05.06.03.08,05.06.02.19,05.05.03.014,05.05.02.29,05.05.02.21,05.05.13.01,05.08.02.02.009,05.02.03.009,05.02.02.03,05.02.01.44,05.02.15.28,05.02.27.004,05.02.20.24,05.02.03.031,05.02.04.037,03.02.02.150,03.03.001,03.04.001,03.05.001,03.02.02.151,03.01.001,03.02.03.055,03.02.11.123,03.02.11.107,03.05.002,07.03.079,07.18.394,07.18.009,07.02.059,07.02.031,07.02.037"
AS2511030-1,127,"05.02.04.119,05.06.02.05,05.06.05.024,05.05.05.074,05.08.02.02.029,05.06.06.015,05.05.04.026,05.05.05.028,05.05.07.14,05.05.09.021,05.02.26.18,05.02.03.028,05.02.01.15,05.02.26.45,05.02.04.030,05.02.26.14,05.02.27.022,05.06.20.03,05.06.18.06,05.06.12.015,05.06.18.04,05.06.08.048,05.06.09.15,05.06.04.060,05.06.04.059,05.06.04.028,05.06.04.021,05.06.03.04,05.06.14.04,05.06.14.03,05.05.04.057,05.05.09.045,05.06.12.016,05.06.18.01,05.06.07.025,05.06.09.16,05.06.03.08,05.06.02.19,05.05.03.014,05.05.02.29,05.05.02.21,05.05.13.01,05.08.02.02.009,05.02.03.009,05.02.02.03,05.02.01.44,05.02.15.28,05.02.27.004,05.02.20.24,05.02.03.031,05.02.04.037,03.02.02.150,03.03.001,03.04.001,03.05.001,03.02.02.151,03.01.001,03.02.03.055,03.02.11.123,03.02.11.107,03.05.002,07.03.079,07.18.394,07.18.009,07.02.059,07.02.031,07.02.037"
AS2511028-2,12,"05.05.08.10,05.06.08.052,05.06.08.054,03.03.001,05.05.08.09,07.09.006,07.09.002"
AS2511028-1,28,"07.09.007,07.09.020,05.06.15.04,05.05.08.10,05.06.08.051,05.06.12.018,05.06.12.012,05.06.12.019,05.06.12.014,05.06.12.021,05.05.15.01,05.05.22.03,05.05.20.01,05.05.01.057,05.20.02.07.001,03.03.001,07.09.006,07.09.001,07.09.002"
AS2511027-3,6,"03.03.001,07.01.46"
AS2511027-2,6,"03.03.001,07.01.46"
AS2511027-1,2,"03.03.001,07.01.46"
AS2511026,21,"05.07.05.04,05.06.05.021,05.05.05.033,05.05.07.03,05.07.03.12,05.07.01.06,05.07.01.05,05.07.01.04,05.20.04.01.10.03,05.06.12.015,05.06.07.013,05.20.03.01.015,05.05.04.027,05.20.02.03.027,05.20.02.10.032,05.05.09.024,05.05.11.24,03.03.001,03.02.11.015,07.17.046"
AS2511024,36,"03.02.07.012,03.02.02.126,03.02.02.077,03.02.06.008,03.02.02.150,03.02.02.151,03.02.03.032,03.02.03.045,03.02.11.015,07.07.004,07.02.040,07.02.038,07.02.037,07.06.004,07.01.74,07.01.06,07.25.75,07.02.124,07.02.086,07.02.084,07.02.024,07.25.57,07.18.114,07.18.358,07.18.360,07.17.138,07.17.043,07.17.144,07.17.045,07.17.145,07.17.139,07.17.146"
AS2511023-2,38,"05.06.05.024,05.07.20.03,05.07.20.02,05.07.20.04,05.07.20.05,05.07.20.01,05.06.20.03,05.06.18.06,05.06.12.015,05.06.18.04,05.06.08.048,05.06.09.15,05.06.04.060,05.06.04.059,05.06.04.028,05.06.04.021,05.06.14.04,05.06.14.03,05.20.03.01.017,05.20.04.01.17.05,05.20.04.01.17.04,05.20.04.01.17.03,05.07.02.01,05.20.04.01.17.02,05.07.02.03,05.20.04.01.17.01,03.03.001,07.04.040,07.05.15.05,07.05.15.04,07.05.15.03,07.05.15.02,07.05.15.01"
AS2511023-1,44,"05.05.03.012,05.05.05.065,05.06.05.021,05.06.05.034,05.06.06.001,05.05.04.026,05.05.09.021,05.06.12.001,05.06.07.013,05.20.03.02.023,05.06.12.015,05.06.08.032,05.20.03.01.025,05.20.02.03.053,05.08.02.02.009,05.06.18.01,05.06.09.01,05.06.07.001,05.06.03.02,05.06.02.01,05.06.01.01,05.20.03.01.002,03.02.03.058,03.03.001,07.04.080,07.04.013,07.03.070,07.04.037"
AS2511022,75,"05.02.10.19,05.02.10.18,05.02.08.037,05.20.01.01.025,05.20.02.01.003,05.05.17.06,05.05.08.07,05.20.02.10.023,05.05.05.065,05.05.01.041,05.05.04.026,05.05.05.028,05.05.03.015,05.05.22.05,05.05.20.04,05.20.02.06.010,05.08.02.02.009,05.06.05.065,05.06.21.07,05.06.21.06,05.06.12.015,05.06.18.06,05.06.08.057,05.06.09.29,05.06.02.39,05.06.02.38,05.20.03.01.047,05.06.11.100,05.06.04.071,05.06.04.070,07.18.454,07.18.453,07.03.070,07.03.035,07.02.084,03.03.001,03.04.001,05.20.01.11.039"
AS2511020,24,"05.02.26.25,05.02.04.054,05.02.20.17,05.02.01.22,05.20.01.11.033,05.02.27.036,05.02.15.13,03.03.001,03.02.02.068,05.01.06,07.02.052,07.01.06"
AS2511019,32,"05.02.21.03,05.02.24.01,05.02.04.055,05.02.21.02,05.02.26.26,05.02.11.01,05.02.04.051,05.02.08.014,05.20.01.03.005,05.20.01.11.003,05.02.15.14,05.02.19.01,05.02.22.01,05.02.20.18,05.20.01.03.004,05.20.01.11.035,05.02.11.02,05.02.15.39,03.03.001,03.04.001,05.02.08.015,05.04.10,07.02.053,07.02.049,05.04.03"
AS2511018,43,"05.06.05.028,05.05.05.039,05.05.04.032,05.05.07.12,05.05.09.029,05.06.12.016,05.06.18.01,05.06.07.025,05.06.09.16,05.06.03.08,05.06.02.19,05.20.03.02.029,05.05.03.014,05.05.22.02,05.05.20.04,05.20.02.03.032,05.08.02.02.012,03.02.04.020,03.02.03.058,03.03.001,03.02.11.132,07.04.003,07.03.041,07.18.001"
AS2511013,3,"03.03.001,07.23.004"
AS2511012,123,"05.02.24.02,05.05.05.074,05.05.12.02,05.05.05.036,05.05.08.07,05.06.06.020,05.05.05.007,05.05.08.03,05.05.05.008,05.05.08.02,05.02.21.06,05.02.11.03,05.02.04.060,05.08.02.02.029,05.05.05.006,05.05.01.041,05.05.03.004,05.05.06.05,05.08.01.02.004,05.02.08.014,05.02.20.18,05.02.19.01,05.02.22.01,05.20.01.11.005,05.05.04.057,05.20.02.03.057,05.05.09.045,05.05.06.04,05.20.02.05.002,05.05.04.004,05.05.09.006,05.08.01.02.002,05.05.22.05,05.05.20.04,05.05.03.014,05.05.06.14,05.05.04.030,05.20.02.03.030,05.20.02.10.023,05.05.09.027,05.08.01.01.009,05.06.18.06,05.06.12.016,05.06.07.007,05.06.09.23,05.06.02.28,05.06.02.27,05.20.03.01.022,05.05.02.03,05.05.13.01,05.05.02.16,05.05.12.03,05.05.04.005,05.20.02.03.007,05.20.02.10.009,05.05.09.007,05.08.01.02.003,05.05.01.050,05.05.01.049,05.05.01.005,05.05.04.006,05.20.02.03.008,05.20.02.10.005,05.05.09.008,05.02.08.015,03.04.001,03.02.03.001,03.03.001,03.02.11.132,07.03.079,07.02.070,07.18.015,07.03.011,07.03.038,07.03.012,07.18.014,07.18.074,07.18.228,07.18.065,07.03.013"
AS2511010,30,"05.05.08.04,05.05.03.004,05.05.05.074,05.05.13.01,05.05.02.29,05.05.02.21,05.05.04.057,05.20.02.10.020,05.05.10.052,05.08.02.02.028,03.03.001,03.02.03.024,07.03.079,07.01.46"
AS2511009-5,163,"05.06.05.055,05.05.05.064,05.11.06,05.11.05,05.05.05.039,05.05.08.10,05.06.05.051,05.07.15.06,05.07.15.05,05.07.15.04,05.07.15.03,05.07.15.02,05.07.15.07,05.07.21.02,05.07.21.04,05.07.21.07,05.07.21.06,05.07.21.03,05.05.01.041,05.05.03.004,05.05.04.032,05.07.02.06,05.07.02.04,05.06.18.01,05.06.08.010,05.06.03.02,05.06.02.01,05.20.03.02.041,05.05.04.053,05.20.02.03.052,05.05.10.045,05.08.02.02.023,05.11.08,05.10.10.01,05.10.12.01,05.10.11.01,05.10.14.03,05.10.14.02,05.10.14.01,05.11.11,05.11.09,05.11.07,05.20.02.11.004,05.20.02.11.005,05.11.04,05.11.03,05.11.02,05.11.01,05.06.18.03,05.06.08.021,05.06.09.14,05.06.02.14,05.06.01.05,05.05.22.05,05.05.20.04,05.20.02.03.032,05.20.02.10.024,05.05.10.025,05.08.02.02.012,05.06.18.06,05.06.12.015,05.06.08.006,05.06.09.24,05.06.02.28,05.06.02.27,05.06.02.26,05.20.03.02.044,05.20.04.01.21.06,05.20.04.01.21.05,05.20.04.01.21.04,05.20.04.01.21.03,05.20.04.01.21.02,05.20.04.01.21.07,05.20.04.01.20.02,03.05.001,03.02.04.030,05.20.04.01.20.04,05.20.04.01.20.07,05.20.04.01.20.06,05.20.04.01.20.03,03.03.001,03.02.11.072,03.02.11.132,07.18.364,07.15.006,07.05.16.02,07.15.005,07.18.242,07.04.031,07.05.11.06,07.05.11.05,07.05.16.04,07.05.11.04,07.05.11.03,07.05.11.02,07.05.16.07,07.05.16.06,07.05.16.03,07.05.11.07"
AS2511009-4,168,"05.05.08.10,05.06.05.055,05.05.05.064,05.07.15.05,05.11.06,05.11.05,05.07.15.06,05.05.05.039,05.06.05.051,05.07.15.04,05.07.15.03,05.07.15.02,05.07.15.07,05.07.21.02,05.07.21.04,05.07.21.07,05.07.21.03,05.07.21.06,05.07.21.05,05.05.01.041,05.05.03.004,05.05.04.032,05.07.02.06,05.07.02.04,05.06.18.01,05.06.08.010,05.06.03.02,05.06.02.01,05.20.03.02.041,05.05.04.053,05.20.02.03.052,05.05.10.045,05.08.02.02.023,05.11.08,05.20.04.01.21.05,05.10.10.01,05.10.12.01,05.10.11.01,05.10.14.03,05.10.14.02,05.10.14.01,05.11.11,05.11.09,05.11.07,05.20.02.11.004,05.20.02.11.005,05.11.04,05.11.03,05.11.02,05.11.01,05.20.04.01.21.06,05.06.18.03,05.06.08.021,05.06.09.14,05.06.02.14,05.06.01.05,05.05.22.05,05.05.20.04,05.20.02.03.032,05.20.02.10.024,05.05.10.025,05.08.02.02.012,05.06.18.06,05.06.12.015,05.06.08.006,05.06.09.24,05.06.02.28,05.06.02.27,05.06.02.26,05.20.03.02.044,05.20.04.01.21.04,05.20.04.01.21.03,05.20.04.01.21.02,05.20.04.01.21.07,05.20.04.01.20.02,03.05.001,05.20.04.01.20.04,03.02.04.030,05.20.04.01.20.07,05.20.04.01.20.03,05.20.04.01.20.06,03.03.001,05.20.04.01.20.05,03.02.11.072,03.02.11.132,07.18.364,07.15.006,07.05.11.05,07.05.16.02,07.15.005,07.05.11.06,07.18.242,07.05.16.04,07.04.031,07.05.11.04,07.05.16.07,07.05.11.03,07.05.16.03,07.05.11.02,07.05.16.06,07.05.11.07,07.05.16.05"
AS2511009-3,16,"05.07.22.03,05.07.02.04,05.07.22.04,05.07.03.13,05.07.01.06,05.07.01.04,03.03.001,07.05.17.01,07.05.17.02"
